Commit ID,Commit Message,Author Name,Files Changed,Passed all checks,Commit Year,Commit Month,Commit Day
11de8e5feb54f6b5dce5dc2f045fc8143192f06a,[BugFix] Fix SAC (#1190),Vincent Moens,['torchrl/objectives/sac.py'],False,2023,5,23
ff900774ca0b1179429bb37cd7d99d482dfeb851,[Performance] Improve performance and streamline the generating of the gammalambda tensor (#1171),Martin Marenz,['torchrl/objectives/value/functional.py'],False,2023,5,23
12ad69e9069036593147e613fc254d97fde89421,[Refactor] Better updaters (#1184),Vincent Moens,"['examples/discrete_sac/discrete_sac.py', 'examples/iql/iql_online.py', 'examples/td3/td3.py', 'test/test_cost.py', 'torchrl/objectives/utils.py', 'torchrl/trainers/helpers/losses.py', 'tutorials/sphinx-tutorials/coding_dqn.py']",False,2023,5,23
b4cf4d7472268d5caee7151900d2aff194474219,[Nova] Removing CircleCI Gym Unittests (#1179),Omkar Salpekar,['.circleci/config.yml'],False,2023,5,23
ae10bb892b3d3139be364216b9dcc5dc9bdea497,[BugFix] Fix SAC (#1189),Vincent Moens,"['examples/sac/sac.py', 'torchrl/objectives/sac.py', 'torchrl/trainers/helpers/losses.py']",False,2023,5,23
4ece06ceb421f5f92a06d67b75c16ffa5d6453c0,[BugFix] Fix TD3 target net (#1186),Vincent Moens,"['examples/td3/config.yaml', 'examples/td3/td3.py', 'torchrl/objectives/td3.py']",False,2023,5,23
079dee716344f501c8ed9757d8f2e3b2372f4cb3,[BugFix] include buffers in policy_weights (#1185),Vincent Moens,['torchrl/collectors/collectors.py'],False,2023,5,23
1e17304cb0732d2f30bef2c15e0e6a0172d9feb8,[BugFix] Fix DDPG (#1183),Vincent Moens,"['torchrl/objectives/ddpg.py', 'tutorials/sphinx-tutorials/coding_ddpg.py']",False,2023,5,23
3c8197b41e351de2ebefbe2df5d5900d82e43882,[BugFix] Fix examples (#1173),Vincent Moens,"['torchrl/objectives/dqn.py', 'torchrl/objectives/value/functional.py']",False,2023,5,21
98cafa5e2d6130a681cf89495eb0bc783eef5bca,[Refactor] Better GymLikeEnv (#1168),Vincent Moens,"['test/test_env.py', 'torchrl/data/tensor_specs.py', 'torchrl/envs/common.py', 'torchrl/envs/gym_like.py']",False,2023,5,20
00f3a1a00506633f85f9cf6d4cb9614546173351,"[Refactor] Shape ops in LSTM based on tensor shape, not tensordict (#1170)",Vincent Moens,['torchrl/modules/tensordict_module/rnn.py'],False,2023,5,19
460d78fe8b5ec64cd3968ab891db93bd1adf0a10,[BugFix] C++17 (#1169),Vincent Moens,['setup.py'],False,2023,5,19
